요구사항 ID,요구사항명,기능 ID,기능명,상세 설명,필수 데이터,선택 데이터
LRN01,단어 학습 유형,LRN01_03,실시간 정/오답 피드백,"유저가 선지를 클릭하는 즉시 색상 피드백을 제공한다.

1. 정답: 선택 선지 초록색 강조

2. 오답: 선택 선지 빨간색 + 정답 선지 초록색 동시 강조","유저 선택 인덱스, 정답 데이터",효과음(정/오답)
LRN01,단어 학습 유형,LRN01_04,상세 해설 및 수동 전환,정/오답 여부와 관계없이 문제 하단에 동일한 상세 해설을 노출한다. '다음 문제로' 버튼 클릭 시에만 화면이 전환된다.,문항별 상세 해설 텍스트,-
LRN02,서류 기반 학습 유형,LRN02_01,문항별 서류 UI 렌더링,각 문제의 맥락에 맞게 시스템이 미리 확대하거나 절삭(Crop)한 서류 UI를 상단에 고정 노출한다.,"문항별 UI, 레슨 ID",서류 이미지 + 퀴즈 결합 화면
LRN02,서류 기반 학습 유형,LRN02_02,4지 선다형 퀴즈 처리,서류 데이터를 기반으로 구성된 4지 선다형 퀴즈를 하단에 배치하고 유저의 클릭 이벤트를 수신한다.,퀴즈 문제 및 4개 선지 텍스트,유저 선택 인덱스 값
LRN02,서류 기반 학습 유형,LRN02_03,실시간 시각 피드백,"유저가 선지를 클릭하는 즉시 정답(초록), 오답(빨간색 + 실제 정답 초록) 색상 피드백을 현재 화면에 노출한다.","유저 선택 인덱스, 정답 데이터",선지 배경/테두리 색상 변화
LRN02,서류 기반 학습 유형,LRN02_04,해설 페이지 전환,"피드백 노출 후, 별도의 독립된 상세 해설 페이지로 화면을 전환한다. ","해설 전용 콘텐츠(텍스트, 팁)",해설 전용 화면 UI
LRN03,상황 기반 학습 유형,LRN03_01,상황 기반 퀴즈 호출 (OX/객관식),"
1. OX형: 선지가 2개인 객관식 형태 

2. 객관식: 4개 선지 중 최적의 판단 선택","문제 텍스트, 선지 데이터(2~4개), 정답 인덱스",챕터/레슨 정보
LRN03,상황 기반 학습 유형,LRN03_02,실시간 시각 피드백 적용,"유저가 선지를 클릭하는 즉시 색상 피드백을 반영한다. (단어 학습 세션과 로직 동일)

- 정답: 선지 배경/테두리 초록색 강조

- 오답: 선택 선지 빨간색 + 정답 선지 초록색 표시","유저 선택 값, 정답 데이터",
LRN03,상황 기반 학습 유형,LRN03_03,상세 풀이 노출 및 수동 전환,정/오답 여부와 관계없이 해당 선택이 실전에서 갖는 의미와 상세 해설을 노출한다. '다음 문제로' 버튼 클릭 시에만 화면을 전환한다.,"문항별 상세 해설 텍스트, 실전 팁",-
LRN03,상황 기반 학습 유형,LRN03_10,데이터 실시간 처리 및 정산,모든 문항 풀이 완료 직후 정답률에 따른 경험치(XP)를 산출하여 유저 프로필에 실시간 업데이트한다. 웹 API 통신 중 로딩 인디케이터를 노출한다.,"유저 ID, 최종 정답률, 획득 XP 산출 로직",세션 소요 시간
LRN05,챕터 완료,LRN05_01,결과 데이터 정산 및 노출,챕터 종료 즉시 정답률과 소요 시간을 계산하여 결과 카드를 렌더링한다.,"챕터 ID, 정답 문항 수, 소요 시간",
LRN05,챕터 완료,LRN05_03,학습 결과 서버 동기화,최종 성과 데이터를 서버 API로 전송하고 성공 시 결과 화면을 확정한다.,"유저 고유 ID, 챕터 완료 플래그",-
ARC01,아카이브,ARC01_01,오답 리스트 렌더링,유저가 틀린 모든 문항을 최상단에 가장 최근에 틀린 문항이 오도록 시간 역순(Newest First)으로 나열한다.,"유저 ID, 오답 발생 타임스탬프, 문항 유형",최신순 오답 목록 UI
ARC01,아카이브,ARC01_04,해설 페이지 라우팅,"리스트의 특정 항목을 클릭하면, 해당 문항의 독립된 해설 페이지로 즉시 이동한다.","문항 ID, 해설 콘텐츠 데이터",해설 전용 화면
,,,,,,
P1,P1,P1,,,,
,,,,,,
DASH01,메인 대시보드,DASH01_02,학습 이어하기 제어,"유저의 최근 학습 데이터를 분석하여 마지막 학습 지점으로 즉시 이동할 수 있는 '이어하기' 카드를 노출한다. 

※ 예외: 학습 이력이 없는 신규 유저에게는 카드를 숨기고 '웰컴 배너'를 노출한다.","마지막 학습 레슨 ID, 마지막 학습 진행률",-
LRN01,단어 학습 유형,LRN01_05,오답 기록 및 영구성 관리,틀린 문제는 발생 시간순(최신순)으로 자동 저장한다. 오답 노트에서 재풀이하여 정답을 맞혀도 '오답' 상태를 유지하며 목록에서 삭제하지 않는다.,"유저 ID, 문항 ID, 발생 타임스탬프",
LRN01,단어 학습 유형,LRN01_06,오답 노트 필터링,저장된 오답 리스트를 챕터별로 구분하여 조회할 수 있는 필터 기능을 제공하여 특정 주제만 모아볼 수 있게 한다.,"챕터 ID, 유저별 오답 데이터",-
LRN01,단어 학습 유형,LRN01_07,중도 이탈 및 보상 처리,학습 세션 완료 전 이탈 시 모든 진행 데이터를 삭제하고 1번 문항부터 재시작하도록 처리한다. 완료 시에만 XP를 계산하여 대시보드에 반영한다.,"세션 완료 플래그, 유저 ID",-
LRN02,서류 기반 학습 유형,LRN02_05,오답 기록 관리,"틀린 문항 발생 시 최신순으로 자동 저장하며, 재풀이 성공 여부와 관계없이 '오답' 상태를 영구 고정한다.","유저 ID, 문항 ID, 발생 타임스탬프",업데이트된 오답 데이터베이스
LRN02,서류 기반 학습 유형,LRN02_06,챕터 완료 및 XP 산출,챕터 내 15~20개 문항을 모두 완료한 경우에만 경험치(XP)를 산출하여 유저 데이터에 반영한다.,"세션 완료 플래그, 유저 누적 XP",레슨 결과 리포트 및 XP 업데이트
LRN02,서류 기반 학습 유형,LRN02_07,대주제 진행률 업데이트,"챕터 완료 시, 부동산 계약(대주제) 내 전체 챕터 수 대비 완료 챕터 비율을 계산하여 진행률(%)을 갱신한다.","완료된 총 챕터 수, 대주제 내 전체 챕터 수",메인 대시보드 통합 진행률(%)
LRN02,서류 기반 학습 유형,LRN02_08,중도 중단 및 초기화,"학습 중 이탈 시 현재까지의 진행 단계는 저장하지 않으며, 다음 진입 시 해당 서류 학습의 처음부터 다시 시작하도록 처리한다.",세션 종료 이벤트,-
LRN03,상황 기반 학습 유형,LRN03_04,오답 기록 및 영구성 관리,틀린 문항은 발생 시간순(최신순)으로 자동 저장한다. 오답 노트 내에서 재풀이하여 정답을 맞혀도 '오답' 상태를 영구 고정하며 목록에서 삭제하지 않는다.,"유저 ID, 문항 ID, 발생 타임스탬프",챕터 필터 데이터
LRN03,상황 기반 학습 유형,LRN03_05,오답 노트 챕터별 필터링,저장된 오답 리스트를 챕터별로 구분하여 조회할 수 있는 필터 기능을 제공한다.,"챕터 ID, 유저별 오답 로그",-
LRN03,상황 기반 학습 유형,LRN03_06,중도 이탈 및 보상 로직,학습 중 이탈 시 모든 진행도를 초기화하고 재진입 시 시나리오 시작점부터 다시 시작한다. 챕터 학습 완료 시에만 XP를 산출하여 반영한다.,"세션 완료 플래그, 유저 ID",최종 결과 XP 데이터
LRN05,챕터 완료,LRN05_04,오답/다음 학습 라우팅,오답 노트  또는 다음 챕터(LRN)로 URL 라우팅을 수행한다.,공유용 텍스트/이미지 URL,-
ARC01,아카이브,ARC01_02,기록 영구성 유지,"오답 노트 내에서 문제를 다시 풀어 정답을 맞히더라도, DB상의 '오답' 상태를 변경하거나 목록에서 삭제하지 않는다.","문항 ID, 재풀이 결과 이벤트",상태 유지 (변경 없음)
ARC01,아카이브,ARC01_05,주제별 필터링,문제가 속한 주제에 따라 필터링을 할 수 있게 한다. ,문항 주제,유형별 인디케이터
ARC02,아카이브,ARC01_06,Zero State 처리,오답 기록이 전혀 없는 신규 유저나 만점 유저에게는 학습을 독려하는 안내 문구와 메인 이동 버튼을 노출한다.,오답 데이터 존재 여부,가이드 메시지 & CTA 버튼
SET01,환경 설정,SET01_01,계정 및 소셜 연동 관리,유저가 현재 연동 중인 소셜 계정(카카오/구글 등)과 이메일 정보를 명확히 표시하여 계정 인증 상태를 관리한다.,"유저 ID, 소셜 플랫폼 정보, 연동 이메일",프로필 이미지
SET01,환경 설정,SET01_02,로그아웃 및 세션 보안,"로그아웃 실행 시 클라이언트 측 모든 저장소(LocalStorage, SessionStorage, Cookies)를 즉시 파기한다. 인증 토큰을 무효화한 후 로그인 페이지로 리다이렉트하여 보안을 강화한다.","인증 토큰(JWT 등), 브라우저 저장소 데이터",-
,,,,,,
DASH01,메인 대시보드,DASH01_04,맞춤형 추천 알고리즘,온보딩 정보와 진도를 분석하여 3~5분 내외의 '오늘의 추천 학습' 리스트를 생성하여 제공한다.,"온보딩 응답 데이터, 현재 학습 단계",유저 관심 키워드
DASH01,메인 대시보드,DASH01_05,아티클 및 소식 큐레이션,학습 주제 혹은 유저의 관심 분야와 관련된 외부 아티클 및 공지/소식 카드를 노출한다.,유저 관심 분야 정보,"아티클 썸네일, 외부 링크"
,,,,,,
LRN01,,LRN01_01,사전 학습 카드 노출,"모든 단어 레슨 시작 시, 해당 주제의 핵심 용어를 설명하는 '간단한 학습' 카드를 1~2매 고정 노출하여 개념을 선학습시킨다.","레슨 ID, 단어 데이터(용어명, 상세 정의)",활용 예문
,,,,,,
P2,P2,P2,,,,
,,,,,,
LRN04,마무리 랜덤 퀴즈,LRN04_01,퀴즈 세션 활성화 및 진입,"특정 주제 내의 모든 필수 레슨(단어, 서류, 시나리오) 완료 로그를 체크하여 '마무리 퀴즈' 버튼을 활성화한다. 웹 라우팅을 통해 퀴즈 전용 URL로 진입한다.","레슨별 완료 로그 데이터, 주제 ID",-
LRN04,마무리 랜덤 퀴즈,LRN04_02,종합 문제 은행 무작위 추출,해당 주제의 전체 문제 풀(Pool)에서 n개를 무작위 추출하여 세션을 구성한다.  ※ 예외: 문항 부족 시 오답률이 높았던 문항을 우선 재배치한다.,"주제별 전체 문제 에셋(이미지, 좌표 등), 유저별 오답 이력 데이터",-
LRN04,마무리 랜덤 퀴즈,LRN04_03,평가 모드 인터페이스,"일반 레슨과 달리 즉각적인 정오답 해설을 차단하고, 모든 풀이가 완료된 시점에만 종합 결과와 오답 확인 기능을 제공한다.","퀴즈 세트 데이터, 유저 응답 이벤트",-
LRN04,마무리 랜덤 퀴즈,LRN04_04,최종 숙련도 판정 및 보상,정답률 기반으로 숙련도를 산출하고 디지털 배지 및 보너스 XP를 지급한다. 완료 즉시 메인 대시보드 내 해당 카테고리 상태를 '완료'로 변경한다.,"정답 판정 로직, XP/배지 지급 규칙",결과 공유용 URL/이미지
LRN04,마무리 랜덤 퀴즈,LRN04_05,웹 데이터 보존 및 동기화,"(웹 최적화) 테스트 중 탭 종료 시 데이터는 저장되지 않으며 1번부터 재시작한다. 단, 결과 제출 시 네트워크 오류가 발생하면 로컬 스토리지에 임시 저장 후 재연결 시 서버와 동기화한다.","현재 문항 인덱스, 로컬 임시 저장 데이터",네트워크 연결 상태값
LRN05,챕터 완료,LRN05_02,경험치 바 애니메이션,중앙 모바일 뷰 내에서 유저의 XP 게이지가 상승하는 시각 효과를 제공한다.,"획득 XP, 현재 누적 XP",레벨업 축하 에셋
PROF01,마이 프로필,PROF01_01,성장 지표 시석화,현재 레벨(Lv)과 다음 레벨까지의 잔여 경험치(XP)를 게이지 바 형태로 렌더링한다. 웹 브라우저 로딩 시 애니메이션 효과를 적용한다.,"유저 ID, 누적 경험치/레벨 데이터",-
PROF01,마이 프로필,PROF01_02,칭호 및 배지 인벤토리,획득한 칭호 및 배지 리스트를 그리드 형태로 출력한다. 특정 칭호 선택 시 유저 닉네임 옆에 즉시 반영하며 서버에 상태를 저장한다.,"획득 배지/칭호 리스트, 선택한 칭호 ID",배지 획득 일자
PROF01,마이 프로필,PROF01_03,닉네임 수정 및 유효성 검사,"닉네임이나 칭호 변경 시, 메인 대시보드를 포함한 앱 전체 UI의 프로필 정보를 새로고침 없이 즉시 업데이트한다.",수정할 닉네임 텍스트,-
SET01,환경 설정,SET01_03,회원 탈퇴 및 복구 로직,탈퇴 신청 시 서버 DB의 deleted_at 필드를 활성화하여 30일간의 유예 기간을 둔다. 유예 기간 내 재접속 시 복구 안내 모달을 통해 탈퇴 철회 여부를 묻는다.,"유저 ID, deleted_at 일시, 탈퇴 상태값",탈퇴 사유 데이터
SET01,환경 설정,SET01_04,서비스 정보 및 약관,"웹 서비스 이용약관, 개인정보 처리방침, 현재 배포 버전을 상시 확인할 수 있도록 제공한다.","약관 텍스트 데이터, 현재 버전 정보",-
SET01,환경 설정,SET01_05,고객 지원 연결,"1:1 문의 폼 등 외부 고객 센터 링크로 연결되는 진입로를 제공한다. 웹 환경을 고려하여 **새 창(target=""_blank"")**으로 실행한다.",외부 문의 링크 URL,-
SET01,환경 설정,SET01_06,중복 연동 제한 및 안내,"다중 탭 환경에서 동일 계정에 여러 소셜 계정을 중복 연동하려 할 경우, **토스트 메시지(Toast Message)**를 통해 현재 상태를 직관적으로 알리고 중복 생성을 차단한다.","연동 시도 계정 정보, 중복 체크 로직 결과",토스트 노출 시간 설정
